desk, underlying, base_market, base_feedcode, calculated_at, volatility_type, volatility, winddown
UST,TN10,XCME,ZNM9,1557480600000000000,BootstrapBaseWithGap,0.0115364,0.350108
UST,TN10,XCME,ZNM9,1557480600000000000,BootstrapBaseWithoutGap,0.00716466,0.160996
UST,TN10,XCME,ZNM9,1557480600000000000,BootstrapNonBaseWithGap,0.0109229,0.350108
UST,TN10,XCME,ZNM9,1557480600000000000,BootstrapNonBaseWithoutGap,0.00753618,0.160996
UST,TN10,XCME,ZNM9,1557480600000000000,BootstrapSliding10,0,0.005166
UST,TN10,XCME,ZNM9,1557480600000000000,BootstrapSliding30,0,0.015486
UST,TN10,XCME,ZNM9,1557480600000000000,BootstrapSliding60,0,0.030976
UST,TN10,XCME,ZNM9,1557480600000000000,MoveBaseWithGap,0.0124436,0.350108
UST,TN10,XCME,ZNM9,1557480600000000000,MoveBaseWithoutGap,0.00527166,0.160996
UST,TN10,XCME,ZNM9,1557480600000000000,MoveNonBaseWithGap,0.0124436,0.350108
UST,TN10,XCME,ZNM9,1557480600000000000,MoveNonBaseWithoutGap,0.00527166,0.160996
UST,TN10,XCME,ZNM9,1557480600000000000,CloseToClose,0.00834369,0.350108
UST,TN10,XCME,ZNM9,1557482400000000000,BootstrapBaseWithGap,0.011197,0.365592
UST,TN10,XCME,ZNM9,1557482400000000000,BootstrapBaseWithoutGap,0.00706363,0.17648
UST,TN10,XCME,ZNM9,1557482400000000000,BootstrapNonBaseWithGap,0.0110716,0.365592
UST,TN10,XCME,ZNM9,1557482400000000000,BootstrapNonBaseWithoutGap,0.00695124,0.17648
UST,TN10,XCME,ZNM9,1557482400000000000,BootstrapSliding10,0,0.00516
UST,TN10,XCME,ZNM9,1557482400000000000,BootstrapSliding30,0,0.015484
UST,TN10,XCME,ZNM9,1557482400000000000,BootstrapSliding60,0,0.03097
UST,TN10,XCME,ZNM9,1557482400000000000,MoveBaseWithGap,0.0121772,0.365592
UST,TN10,XCME,ZNM9,1557482400000000000,MoveBaseWithoutGap,0.00503509,0.17648
UST,TN10,XCME,ZNM9,1557482400000000000,MoveNonBaseWithGap,0.0121772,0.365592
UST,TN10,XCME,ZNM9,1557482400000000000,MoveNonBaseWithoutGap,0.00503509,0.17648
UST,TN10,XCME,ZNM9,1557482400000000000,CloseToClose,0.00816509,0.365592
UST,TN10,XCME,ZNM9,1557484200000000000,BootstrapBaseWithGap,0.0109368,0.381082
UST,TN10,XCME,ZNM9,1557484200000000000,BootstrapBaseWithoutGap,0.00670695,0.19197
UST,TN10,XCME,ZNM9,1557484200000000000,BootstrapNonBaseWithGap,0.0108935,0.381082
UST,TN10,XCME,ZNM9,1557484200000000000,BootstrapNonBaseWithoutGap,0.00697671,0.19197
UST,TN10,XCME,ZNM9,1557484200000000000,BootstrapSliding10,0,0.00516
UST,TN10,XCME,ZNM9,1557484200000000000,BootstrapSliding30,0,0.01549
UST,TN10,XCME,ZNM9,1557484200000000000,BootstrapSliding60,0,0.030974
UST,TN10,XCME,ZNM9,1557484200000000000,MoveBaseWithGap,0.0119272,0.381082
UST,TN10,XCME,ZNM9,1557484200000000000,MoveBaseWithoutGap,0.00482768,0.19197
UST,TN10,XCME,ZNM9,1557484200000000000,MoveNonBaseWithGap,0.0119272,0.381082
UST,TN10,XCME,ZNM9,1557484200000000000,MoveNonBaseWithoutGap,0.00482768,0.19197
UST,TN10,XCME,ZNM9,1557484200000000000,CloseToClose,0.00799742,0.381082
UST,TN10,XCME,ZNM9,1557486000000000000,BootstrapBaseWithGap,0.0105382,0.396572
UST,TN10,XCME,ZNM9,1557486000000000000,BootstrapBaseWithoutGap,0.00670348,0.20746
UST,TN10,XCME,ZNM9,1557486000000000000,BootstrapNonBaseWithGap,0.0104305,0.396572
UST,TN10,XCME,ZNM9,1557486000000000000,BootstrapNonBaseWithoutGap,0.00666512,0.20746
UST,TN10,XCME,ZNM9,1557486000000000000,BootstrapSliding10,0,0.00517
UST,TN10,XCME,ZNM9,1557486000000000000,BootstrapSliding30,0,0.01549
UST,TN10,XCME,ZNM9,1557486000000000000,BootstrapSliding60,0,0.03098
UST,TN10,XCME,ZNM9,1557486000000000000,MoveBaseWithGap,0.0116919,0.396572
UST,TN10,XCME,ZNM9,1557486000000000000,MoveBaseWithoutGap,0.00464395,0.20746
UST,TN10,XCME,ZNM9,1557486000000000000,MoveNonBaseWithGap,0.0116919,0.396572
UST,TN10,XCME,ZNM9,1557486000000000000,MoveNonBaseWithoutGap,0.00464395,0.20746
UST,TN10,XCME,ZNM9,1557486000000000000,CloseToClose,0.00783968,0.396572
UST,TN10,XCME,ZNM9,1557487800000000000,BootstrapBaseWithGap,0.0105773,0.420096
UST,TN10,XCME,ZNM9,1557487800000000000,BootstrapBaseWithoutGap,0.00622691,0.230984
UST,TN10,XCME,ZNM9,1557487800000000000,BootstrapNonBaseWithGap,0.01036,0.420096
UST,TN10,XCME,ZNM9,1557487800000000000,BootstrapNonBaseWithoutGap,0.00632812,0.230984
UST,TN10,XCME,ZNM9,1557487800000000000,BootstrapSliding10,0,0.00803
UST,TN10,XCME,ZNM9,1557487800000000000,BootstrapSliding30,0,0.023524
UST,TN10,XCME,ZNM9,1557487800000000000,BootstrapSliding60,0,0.039014
UST,TN10,XCME,ZNM9,1557487800000000000,MoveBaseWithGap,0.0113598,0.420096
UST,TN10,XCME,ZNM9,1557487800000000000,MoveBaseWithoutGap,0.00440113,0.230984
UST,TN10,XCME,ZNM9,1557487800000000000,MoveNonBaseWithGap,0.0113598,0.420096
UST,TN10,XCME,ZNM9,1557487800000000000,MoveNonBaseWithoutGap,0.00440113,0.230984
UST,TN10,XCME,ZNM9,1557487800000000000,CloseToClose,0.00761702,0.420096
UST,TN10,XCME,ZNM9,1557489600000000000,BootstrapBaseWithGap,0.010112,0.444206
UST,TN10,XCME,ZNM9,1557489600000000000,BootstrapBaseWithoutGap,0.00601525,0.255094
UST,TN10,XCME,ZNM9,1557489600000000000,BootstrapNonBaseWithGap,0.00993793,0.444206
UST,TN10,XCME,ZNM9,1557489600000000000,BootstrapNonBaseWithoutGap,0.00597847,0.255094
UST,TN10,XCME,ZNM9,1557489600000000000,BootstrapSliding10,0,0.00804
UST,TN10,XCME,ZNM9,1557489600000000000,BootstrapSliding30,0,0.02411
UST,TN10,XCME,ZNM9,1557489600000000000,BootstrapSliding60,0,0.047634
UST,TN10,XCME,ZNM9,1557489600000000000,MoveBaseWithGap,0.0110472,0.444206
UST,TN10,XCME,ZNM9,1557489600000000000,MoveBaseWithoutGap,0.00418798,0.255094
UST,TN10,XCME,ZNM9,1557489600000000000,MoveNonBaseWithGap,0.0110472,0.444206
UST,TN10,XCME,ZNM9,1557489600000000000,MoveNonBaseWithoutGap,0.00418798,0.255094
UST,TN10,XCME,ZNM9,1557489600000000000,CloseToClose,0.00740742,0.444206
UST,TN10,XCME,ZNM9,1557491400000000000,BootstrapBaseWithGap,0.00989269,0.49316
UST,TN10,XCME,ZNM9,1557491400000000000,BootstrapBaseWithoutGap,0.00575732,0.304048
UST,TN10,XCME,ZNM9,1557491400000000000,BootstrapNonBaseWithGap,0.00993305,0.49316
UST,TN10,XCME,ZNM9,1557491400000000000,BootstrapNonBaseWithoutGap,0.0056178,0.304048
UST,TN10,XCME,ZNM9,1557491400000000000,BootstrapSliding10,0,0.01691
UST,TN10,XCME,ZNM9,1557491400000000000,BootstrapSliding30,0,0.048954
UST,TN10,XCME,ZNM9,1557491400000000000,BootstrapSliding60,0,0.073064
UST,TN10,XCME,ZNM9,1557491400000000000,MoveBaseWithGap,0.0104846,0.49316
UST,TN10,XCME,ZNM9,1557491400000000000,MoveBaseWithoutGap,0.00383605,0.304048
UST,TN10,XCME,ZNM9,1557491400000000000,MoveNonBaseWithGap,0.0104846,0.49316
UST,TN10,XCME,ZNM9,1557491400000000000,MoveNonBaseWithoutGap,0.00383605,0.304048
UST,TN10,XCME,ZNM9,1557491400000000000,CloseToClose,0.00703016,0.49316
UST,TN10,XCME,ZNM9,1557493200000000000,BootstrapBaseWithGap,0.00962628,0.543894
UST,TN10,XCME,ZNM9,1557493200000000000,BootstrapBaseWithoutGap,0.00555816,0.354782
UST,TN10,XCME,ZNM9,1557493200000000000,BootstrapNonBaseWithGap,0.00962724,0.543894
UST,TN10,XCME,ZNM9,1557493200000000000,BootstrapNonBaseWithoutGap,0.00523885,0.354782
UST,TN10,XCME,ZNM9,1557493200000000000,BootstrapSliding10,0,0.01691
UST,TN10,XCME,ZNM9,1557493200000000000,BootstrapSliding30,0,0.050734
UST,TN10,XCME,ZNM9,1557493200000000000,BootstrapSliding60,0,0.099688
UST,TN10,XCME,ZNM9,1557493200000000000,MoveBaseWithGap,0.00998365,0.543894
UST,TN10,XCME,ZNM9,1557493200000000000,MoveBaseWithoutGap,0.00355119,0.354782
UST,TN10,XCME,ZNM9,1557493200000000000,MoveNonBaseWithGap,0.00998365,0.543894
UST,TN10,XCME,ZNM9,1557493200000000000,MoveNonBaseWithoutGap,0.00355119,0.354782
UST,TN10,XCME,ZNM9,1557493200000000000,CloseToClose,0.00669425,0.543894
